UserId,RecipeId,LikeCount,DislikeCount,ViewsCount,Rating,CommentLength,DonatedAmount
0e0a1419-007c-46eb-8c15-201a4c64450f,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
af0a735f-b3eb-4859-8ed6-2708adb547a8,df3adf26-75a8-44ac-bfaa-0172447dc1e2,0,1,0,3,0,0
6c019a6f-d9e0-4ab6-b709-35e8c86865a7,df3adf26-75a8-44ac-bfaa-0172447dc1e2,0,0,0,3,51,0
4caf1a5e-bc7b-48f9-9048-40eae4909691,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
4573a2c7-96b4-4692-adf3-535fcf03ffd9,df3adf26-75a8-44ac-bfaa-0172447dc1e2,0,0,0,3,0,0
0e4fe876-631f-4a4b-ab59-5637d79f6a1d,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
ab3aabaa-f882-4244-8116-5bdc4f7908cb,df3adf26-75a8-44ac-bfaa-0172447dc1e2,0,0,1,3,0,0
c128e702-f52b-4e7b-b3e0-5c159908ea44,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
42b2aeeb-c658-458b-a519-65a3365f4f48,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
f618edfe-7f3d-4e36-98fb-6d5de2c218c9,df3adf26-75a8-44ac-bfaa-0172447dc1e2,0,0,1,3,0,0
2abf99d2-4688-4af6-8146-7235ba6848d5,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
81b7fe5d-f627-4bdb-8ed2-783b3cb4c81c,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
a80a4c64-1f75-4538-9498-7bb63d3804e4,df3adf26-75a8-44ac-bfaa-0172447dc1e2,0,0,2,3,0,0
dbf99978-cbeb-4c86-b030-8c1ded91b013,df3adf26-75a8-44ac-bfaa-0172447dc1e2,0,1,0,3,0,0
3f8746e0-b088-4f4b-8a13-90ff3c9274e9,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,1,0,0
621bfc0d-7484-4e1d-9887-a031113599a0,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
d591dc4d-09a9-46a5-9fed-acdd5ae1fedb,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
57170fd2-e8f6-449d-8965-cdb64c8d050f,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
2f181fc3-9436-4103-9057-cf6e0fd6e41c,df3adf26-75a8-44ac-bfaa-0172447dc1e2,2,0,0,3,0,0
2142a137-904a-4d79-8355-d0ae6b250413,df3adf26-75a8-44ac-bfaa-0172447dc1e2,0,0,1,3,0,0
b6583209-64de-45b5-89e4-d4d52f4d725c,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
9633968e-0913-4b08-8c62-dc10e2dbac8f,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
36ecd77c-bf1d-4130-9f63-e61916a6a9f3,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
d17f4baf-b055-4a22-82e4-efb5c74acd89,df3adf26-75a8-44ac-bfaa-0172447dc1e2,0,0,0,4,0,0
61975099-c132-41b2-ac1b-f518d93905a3,df3adf26-75a8-44ac-bfaa-0172447dc1e2,1,0,0,3,0,0
bcde5759-f418-4b0f-ab4a-f984293ab4c5,df3adf26-75a8-44ac-bfaa-0172447dc1e2,0,0,1,3,0,0
5f1bb772-2b3c-4824-a389-f9c6c801848c,df3adf26-75a8-44ac-bfaa-0172447dc1e2,0,0,0,3,0,0
8d622192-fe1a-4928-8601-152cd81af022,6d564402-1f12-4a7f-b6cb-020d2b4057c0,0,0,0,3,0,50.15
151c4a47-3950-4d2c-b60e-2c5efc22b3cc,6d564402-1f12-4a7f-b6cb-020d2b4057c0,1,0,0,3,0,0
6c019a6f-d9e0-4ab6-b709-35e8c86865a7,6d564402-1f12-4a7f-b6cb-020d2b4057c0,0,0,0,3,0,52.58
9272e211-a96c-4d67-ba47-4715993f36c5,6d564402-1f12-4a7f-b6cb-020d2b4057c0,0,0,1,3,0,0
0e4fe876-631f-4a4b-ab59-5637d79f6a1d,6d564402-1f12-4a7f-b6cb-020d2b4057c0,0,0,1,3,0,0
9f95bdb3-92eb-419b-bfba-5d413e430a41,6d564402-1f12-4a7f-b6cb-020d2b4057c0,0,0,0,3,0,26.02
5f14d8aa-bb97-4911-b30d-9abb3c8da246,6d564402-1f12-4a7f-b6cb-020d2b4057c0,0,0,1,3,0,0
8578b635-0ad3-4532-b3c9-a34b9baa762b,6d564402-1f12-4a7f-b6cb-020d2b4057c0,0,0,0,3,0,0
05514266-fe0e-40c5-b759-cddeab87131a,6d564402-1f12-4a7f-b6cb-020d2b4057c0,0,0,2,3,0,0
a0fd7d23-b896-47ac-a7c1-e1c258845de8,6d564402-1f12-4a7f-b6cb-020d2b4057c0,0,0,1,3,0,0
f85fd255-6a41-4413-b329-e22fa42a8ec2,6d564402-1f12-4a7f-b6cb-020d2b4057c0,0,0,1,3,0,0
