UserId,Age,Gender_Male,Gender_Female,Gender_Other,Pref_Vegetarian,Pref_Vegan,Pref_GlutenFree,Pref_Pescatarian,Pref_LowCalorie,Pref_HighProtein,Pref_LowCarb,Pref_LowFat,Pref_LowSugar,Pref_HighFiber,Pref_LowSodium
1d9cfb83-48f1-45f3-be19-04b6e72ceef4,27,False,True,False,False,False,False,False,False,True,False,False,True,False,True
2367d8a9-6fff-475f-a19b-074fa85b58fe,25,True,False,False,False,True,False,False,False,True,False,False,False,False,False
3c84f174-87ed-4168-b07c-136a97e3b534,28,True,False,False,False,False,False,False,False,False,True,False,False,False,True
ec5a51f2-a584-47ad-9ea6-162c40875b1b,33,False,True,False,False,False,False,False,False,False,True,False,False,False,True
41a5fed5-b807-47b2-bb2c-1dc36252eaac,23,True,False,False,False,True,False,False,True,False,False,False,False,False,False
41f7cc32-d30a-4eeb-8f81-1e75f682e13f,34,False,True,False,False,False,False,True,False,False,False,True,False,True,False
dfb991e7-2987-4c51-965f-1f0e60544ed1,23,True,False,False,False,False,False,False,False,False,True,False,False,False,False
e5bbe179-43b9-4994-8959-22f43d3df9e2,24,True,False,False,False,False,False,False,False,False,False,False,False,False,True
da057d3d-21c5-47ec-8215-23038514f19d,27,True,False,False,False,False,False,True,False,False,False,True,False,False,False
253686a0-53d0-4713-9f55-24624293f722,31,True,False,False,False,False,False,True,True,False,False,True,False,False,False
f8bb7b36-69ca-4dd5-a228-266b441cbcee,22,False,True,False,True,True,False,False,False,False,False,True,False,False,False
5467b149-b0d2-4fb5-a9fb-26df6a68c8e7,32,True,False,False,False,False,False,False,False,False,False,True,False,False,False
00e07c72-0385-41ad-9c75-2c8674dea9b0,31,False,True,False,False,True,False,True,False,False,False,False,False,False,False
bf75773d-ada7-4654-ad4c-2d94e81ac96b,20,False,True,False,False,False,True,True,False,False,False,False,False,False,False
beb75fcd-12dd-44e7-b5fa-2dd5495ee73c,23,False,True,False,True,False,True,False,False,False,False,False,False,False,False
3c6a2390-ab21-4003-80e3-2faab8c7014c,22,True,False,False,True,False,True,True,False,False,False,False,False,False,False
fe95cda5-25ea-4a8c-b9ec-312cc8233811,31,True,False,False,False,False,True,False,False,False,False,False,False,False,False
57d31957-9991-42f4-aa6c-3186a464e908,23,False,True,False,False,False,False,False,False,False,False,True,True,False,False
e59c224e-e516-4e18-a6da-3262eb19f8ac,20,True,False,False,False,False,True,False,False,False,False,False,False,True,True
14cf84e7-808c-43a0-b8e0-335b591286af,24,True,False,False,False,False,False,False,True,False,False,False,False,True,False
ed0f9b9d-d72e-4f47-adfd-337aef3d146d,20,True,False,False,False,False,True,False,True,False,False,False,True,False,False
50570fcb-bbc0-478e-af61-338ebf4384c0,34,False,True,False,False,False,False,False,False,True,True,False,False,False,True
46cdb3f5-0117-489e-9393-3676ec06b813,31,True,False,False,False,True,False,False,False,False,False,False,False,False,False
d60d7f3a-9553-45f0-b378-3bc7d6e95767,30,False,True,False,False,False,False,False,False,True,False,True,False,True,False
9cf78e80-dd16-478b-b924-3d5401abab71,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False
640c56b2-c5aa-4c03-8b34-440b01d4ecb4,29,True,False,False,False,False,True,False,True,False,False,False,True,False,False
e2287c5f-e282-4101-80de-45effc5a7d75,30,False,True,False,False,False,False,False,False,False,False,False,False,True,True
15f30fbf-e6f7-4735-a2e8-460e3f742b43,21,False,True,False,False,False,False,False,False,False,True,False,False,False,False
e57b7bab-62bf-4168-9b32-472e5d660b01,30,True,False,False,False,True,True,False,False,False,False,False,False,False,True
3df8d9c7-f8b9-422b-96fb-47c71eb18b8a,20,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1f24e371-7371-4d5d-9eef-4ab96049a375,25,False,True,False,False,False,False,False,False,False,True,False,True,False,False
7a201fcc-96c4-4caa-95a8-4b8fae276b54,29,True,False,False,False,False,False,False,False,False,False,True,False,False,True
2b088c75-4f2b-49f9-aea6-4d40339e219e,34,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0960a7f9-2f4d-494b-8bac-4f35cda80e6f,32,True,False,False,True,False,False,False,False,False,True,False,False,False,False
baba81d5-75c0-4b14-bc75-5216f211b1e4,32,False,True,False,False,True,True,False,False,False,False,False,False,False,False
b963155e-c588-49d4-91d4-5475ec235bbd,28,True,False,False,False,False,True,False,False,False,False,False,False,False,False
24157f13-e809-4a78-8312-554ec883d313,27,False,True,False,False,False,False,False,False,False,False,False,False,True,False
819d3fa6-a13e-4738-bf66-574e4a3db41b,22,True,False,False,False,False,False,False,True,False,False,False,False,False,False
e4fee2b9-e95f-4fb9-93d8-5827121cd913,22,True,False,False,False,False,False,False,False,True,False,False,False,False,False
2b2c9d60-2dd4-462f-aede-5831f72ba4e6,33,True,False,False,False,False,False,False,False,True,True,False,False,False,False
66da03b0-21af-4450-af43-58cbd9938b79,23,False,True,False,False,True,False,False,False,False,False,False,False,False,True
98b019c6-7b24-4373-993d-590638a65f2a,24,False,True,False,False,False,False,True,False,False,False,True,False,False,False
6116f896-0d65-4c59-8c8d-61edb00d252d,29,True,False,False,False,False,True,False,True,False,False,False,False,False,False
47324880-7aa8-434b-8613-6740e8db9f9c,30,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0016ab55-68fd-46fc-9cd9-6b22861ec2d7,31,False,True,False,False,True,False,False,False,False,False,False,False,False,False
66ff1505-0e9d-45d5-a1ba-6c4bffae11f6,30,True,False,False,False,False,True,False,False,False,False,True,False,True,False
